Official Name,Country/Org of UN Registry,Country of Operator,Operator,Users,Purpose,Period (minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,NORAD Number,Year
Beidou 2-17,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.92,3/30/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,41434,2016
Beidou 2-18,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.1,6/12/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,41586,2016
Beidou 3I-1S,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1461.81,3/30/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,40549,2015
Beidou 3I-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.73,9/29/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,40938,2015
Beidou 3-M1,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,11/5/2017,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43001,2017
Beidou 3-23,NR (11/19),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,9/22/2019,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,44542,2019
Beidou 3-24,NR (11/19),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,9/22/2019,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,44543,2019
Beidou 3-25,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,11/5/2017,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43002,2017
Beidou 3M-1S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,7/25/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,40748,2015
Beidou 3M-2S,NR,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.3,7/25/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,40749,2015
Beidou 3M-3S,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,2/1/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,41315,2016
Beidou DW 26,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,1/11/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43107,2018
Beidou DW 27,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,1/11/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43108,2018
Beidou DW 28,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,2/12/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43207,2018
Beidou DW 29,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,2/12/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43208,2018
Beidou DW 30,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,3/29/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43245,2018
Beidou DW 31,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,3/29/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43245,2018
Beidou DW 32,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.1,7/9/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,43539,2018
Beidou DW 33,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,7/29/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43581,2018
Beidou DW 34,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,7/29/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43581,2018
Beidou DW 35,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,8/24/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43602,2018
Beidou DW 36,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.2,8/24/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43603,2018
Beidou DW 37,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,787.1,9/19/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43622,2018
Beidou DW 38,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.1,9/19/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43633,2018
Beidou DW 39,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,787.4,10/15/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43647,2018
Beidou DW 40,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,787.4,10/15/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43648,2018
Beidou DW 41,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.06,11/1/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43683,2018
Beidou DW 42,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,787.1,11/18/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43706,2018
Beidou DW 43,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,787.1,11/18/2018,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,43707,2018
Beidou DW 44,NR (11/19),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.7,4/20/2019,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,44204,2019
Beidou DW 45,NR (11/19),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.06,5/17/2019,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,44231,2019
Beidou DW 46,NR (11/19),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.2,6/24/2019,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,44337,2019
Beidou G-1,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.05,1/16/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,36287,2010
Beidou G4,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.1,10/31/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,37210,2010
Beidou G5,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.15,2/24/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,38091,2012
Beidou IGSO-1,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.82,7/31/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,36828,2010
Beidou IGSO-2,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.12,12/17/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,37256,2010
Beidou IGSO-3,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.93,4/9/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,37384,2011
Beidou IGSO-4,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1435.1,7/26/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,37763,2011
Beidou IGSO-5,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.08,12/1/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,37948,2011
BeijinGalaxy-1,China,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,98.6,10/27/2005,Tsinghua University/University of Surrey,China/UK,Plesetsk Cosmodrome,Kosmos 3M,28890,2005
Belintersat-1,Belarus,Belarus,Belintersat,Government,Communications,1436.06,1/15/2016,China Academy of Space Technology/Thales Alenia Space,China/France,Xichang Satellite Launch Center,Long March 3B,41238,2016
Bhutan-1,Bhutan,Bhutan,Information and Communications Ministry,Government,Earth Observation,95,8/10/2018,JAXA/Kyushu Institute of Technology,Japan,International Space Station,J-SSOD Deployer,43591,2018
Bispectral InfraRed Detector 2 (Bird 2),Germany,Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,94.8,10/22/2001,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,26959,2001
BIROS,Germany,Germany,German Aerospace Center (DLR),Government,Earth Observation,94.7,6/22/2016,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,41604,2016
BisonSat,NR,USA,Salish Kootenai College,Civil,Earth Observation/Technology Development,97.7,10/8/2015,Salish Kootenai College,USA,Cape Canaveral,Atlas 5,40968,2015
BKA 2,Belarus,Belarus,National Academy of Sciences,Government,Earth Observation,94.7,7/22/2012,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,38708,2012
BlackSky Global 1,NR,USA,BlackSky Global,Commercial,Earth Observation,94.7,11/29/2018,Spaceflight Industries,USA,Satish Dhawan Space Centre,PSLV,43730,2018
BlackSky Global 2,NR,USA,BlackSky Global,Commercial,Earth Observation,96.3,12/3/2018,Spaceflight Industries,USA,Vandenberg AFB,Falcon 9,43812,2018
BlackSky Global 3,NR (11/19),USA,BlackSky Global,Commercial,Earth Observation,93.7,6/29/2019,Spaceflight Industries,USA,Rocket Lab Launch Complex 1,Electron,44367,2019
BlackSky Global 4,NR (11/19),USA,BlackSky Global,Commercial,Earth Observation,95.5,8/19/2019,Spaceflight Industries,USA,Rocket Lab Launch Complex 1,Electron,44499,2019
BlackSky Pathfinder 1,USA,USA,BlackSky Global,Commercial,Earth Observation,98.3,9/26/2016,Spaceflight Industries,USA,Satish Dhawan Space Centre,PSLV,41787,2016
Cosmos 2520,Russia,Russia,Ministry of Defense,Military/Commercial,Communications,"1,436",8/16/2017,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,42907,2017
Cosmos 2526,Russia,Russia,Ministry of Defense,Military/Commercial,Communications,"1,436",4/18/2018,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,43432,2018
Cosmos 2533,Russia,Russia,Ministry of Defense,Military/Commercial,Communications,"1,436",12/20/2018,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,43867,2018
Cosmos 2539,Russia,Russia,Ministry of Defense,Military/Commercial,Communications,"1,436",8/5/2019,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton,44457,2019
Bluewalker 1,Lithuania,Lithuania,NanoAvionics,Commercial,Technology Development,94,4/1/2019,NanoAvionics,Lithuania,Satish Dhawan Space Centre,PSLV,44105,2019
Brazilsat B-4,Brazil,Brazil,Embratel Star One,Commercial,Communications,1436.09,8/17/2000,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,26469,2000
BricSat-2,NR (11/19),USA,US Naval Academy Satellite Laboratory,Civil,Technology Development,96.1,6/25/2019,US Naval Academy Satellite Laboratory,USA,Cape Canaveral,Falcon Heavy,44355,2019
BRIO,NR,USA,SpaceQuest,Commercial,Technology Development,96.3,12/3/2018,SpaceQuest,USA,Vandenberg AFB,Falcon 9,43813,2018
BRISat,Indonesia,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,1436.2,6/19/2016,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,41591,2016
BRITE-CA-1,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,98.27,6/19/2014,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,40020,2014
BRITE-PL-1,Poland,Multinational,BRITE Consortium,Government,Space Science,99.6,11/21/2013,"Space Research Center, Polish Academy of Sciences",Poland,Dombarovsky Air Base,Dnepr,39431,2013
BRITE-PL-2,NR,Multinational,BRITE Consortium,Government,Space Science,97.1,8/19/2014,"Space Research Center, Polish Academy of Sciences",Poland,Taiyuan Launch Center,CZ-4B,40119,2014
BRO-One,NR (11/19),France,UnseenLabs,Commercial,Earth Observation,95.5,8/19/2019,GomSpace ApS,Denmark,Rocket Lab Launch Complex 1,Electron,44495,2019
BSAT-3A,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,1436.1,8/14/2007,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,32019,2007
BSAT-3B,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,1365.61,10/28/2010,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,37207,2010
BSAT-3C/JCSat 110-R,Japan,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,1436.04,8/6/2011,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,37776,2011
BSAT-4A,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,1432.7,9/29/2017,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,42951,2017
Buccaneer RMM,Australia,Australia,Defence Science and Technology Group/University of New South Wales,Military/Civil,Technology Development,97.4,11/18/2017,Defence Science and Technology Group/University of New South Wales,Australia,Vandenberg AFB,Delta 2,43014,2017
Bufeng-1A,NR (11/19),China,China Academy of Space Technology (CAST),Government,Earth Observation,96,6/5/2019,China Academy of Space Technology (CAST),China,Yellow Sea Launch Platform,Long March 11,44312,2019
Bufeng-1B,NR (11/19),China,China Academy of Space Technology (CAST),Government,Earth Observation,96,6/5/2019,China Academy of Space Technology (CAST),China,Yellow Sea Launch Platform,Long March 11,44314,2019
Bugsat-1,NR,Argentina,Satellogic S.A.,Commercial,Technology Development,96.55,6/19/2014,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,40014,2014
BulgariaSat-1,NR,Bulgaria,Bulsatcom,Commercial,Communications,1436,6/23/2017,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,42801,2017
Calipso,France,France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,98.8,4/28/2006,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,29108,2006
CAN-X2,Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,97.1,4/28/2008,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV C9,32790,2008
Can-X4,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,98.26,6/30/2014,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV-CA,40055,2014
Can-X5,NR,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,97.72,6/30/2014,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV-CA,40056,2014
CanX-7,Canada,Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Technology Development,98.3,9/26/2016,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,41788,2016
Capella-1,NR,USA,Capella Space,Commercial,Earth Observation,96.3,12/3/2018,Capella Space,USA,Vandenberg AFB,Falcon 9,43791,2018
CartoSat 1,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,97.1,5/5/2005,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,28649,2005
CartoSat 2,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,97.4,1/10/2007,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,29710,2007
CartoSat 2A,India,India,Indian Space Research Organization (ISRO),Military,Earth Observation,97.4,4/28/2008,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C9,32783,2008
CartoSat 2B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,97.4,7/12/2010,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,36795,2010
CartoSat 2C,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,94.8,6/22/2016,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,41599,2016
CartoSat 2D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,94.8,2/15/2017,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,41948,2017
CartoSat 2E,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,91.34,6/22/2017,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,42767,2017
CartoSat 2F,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,94.6,1/11/2018,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,43111,2018
Cassiope,NR,Canada,Canadian Space Agency,Government,Earth Science,103.11,9/29/2013,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,39265,2013
CATSat-1,NR,USA,Johns Hopkins Applied Physics Laboratory,Civil,Technology Development,92.7,1/31/2019,Johns Hopkins Applied Physics Laboratory,USA,International Space Station,Nanorack Deployer,44033,2019
CATSat-2,NR,USA,Johns Hopkins Applied Physics Laboratory,Civil,Technology Development,92.7,1/31/2019,Johns Hopkins Applied Physics Laboratory,USA,International Space Station,Nanorack Deployer,44029,2019
USA 283,USA,USA,US Air Force,Military,Communications,1436.1,4/14/2018,Unknown,USA,Cape Canaveral,Atlas  5,43339,2018
CBERS 4,NR,China/Brazil,China National Space Administration (China)/National Institute for Space Research (Brazil),Government,Earth Observation,99.67,12/7/2014,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,40336,2014
